,Name,Link
0,,https://www.bbc.co.uk
1,Accessibility Help,https://www.bbc.co.uk/accessibility/
2,BBC Account,https://account.bbc.com/account
3,,https://www.bbc.co.uk/notifications
4,Home,https://www.bbc.co.uk
5,,https://www.bbc.co.uk/news
6,,https://www.bbc.co.uk/sport
7,,https://www.bbc.co.uk/weather
8,,https://www.bbc.co.uk/iplayer
9,,https://www.bbc.co.uk/sounds
10,,https://www.bbc.co.uk/bitesize
11,CBeebies,https://www.bbc.co.uk/cbeebies
12,CBBC,https://www.bbc.co.uk/cbbc
13,Food,https://www.bbc.co.uk/food
14,Home,https://www.bbc.com/
15,News,https://www.bbc.com/news
16,Sport,https://www.bbc.com/sport
17,Reel,https://www.bbc.com/reel
18,Worklife,https://www.bbc.com/worklife
19,Travel,https://www.bbc.com/travel
20,Future,https://www.bbc.com/future
21,Culture,https://www.bbc.com/culture
22,TV,https://www.bbc.co.uk/schedules/p00fzl9m
23,Weather,https://www.bbc.com/weather
24,Sounds,https://www.bbc.co.uk/sounds
25,,https://search.bbc.co.uk/search?scope=all&destination=FEATURE_SITES_GNL
26,Home,https://www.bbc.co.uk
27,,https://www.bbc.co.uk/news
28,,https://www.bbc.co.uk/sport
29,,https://www.bbc.co.uk/weather
30,,https://www.bbc.co.uk/iplayer
31,,https://www.bbc.co.uk/sounds
32,,https://www.bbc.co.uk/bitesize
33,CBeebies,https://www.bbc.co.uk/cbeebies
34,CBBC,https://www.bbc.co.uk/cbbc
35,Food,https://www.bbc.co.uk/food
36,Home,https://www.bbc.com/
37,News,https://www.bbc.com/news
38,Sport,https://www.bbc.com/sport
39,Reel,https://www.bbc.com/reel
40,Worklife,https://www.bbc.com/worklife
41,Travel,https://www.bbc.com/travel
42,Future,https://www.bbc.com/future
43,Culture,https://www.bbc.com/culture
44,TV,https://www.bbc.co.uk/schedules/p00fzl9m
45,Weather,https://www.bbc.com/weather
46,Sounds,https://www.bbc.co.uk/sounds
47,,"https://twitter.com/intent/tweet?text=Suzume,%20Polite%20Society,%20John%20Wick:%20Twelve%20of%20the%20best%20films%20of%202023%20so%20far&url=https%3A%2F%2Fwww.bbc.com%2Fculture%2Farticle%2F20230402-8-of-the-best-films-of-2023-so-far%3Focid%3Dww.social.link.twitter&via=BBC_Culture"
48,,"https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.bbc.com%2Fculture%2Farticle%2F20230402-8-of-the-best-films-of-2023-so-far%3Focid%3Dww.social.link.facebook&t=Suzume,%20Polite%20Society,%20John%20Wick:%20Twelve%20of%20the%20best%20films%20of%202023%20so%20far"
49,,"https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.bbc.com%2Fculture%2Farticle%2F20230402-8-of-the-best-films-of-2023-so-far%3Focid%3Dww.social.link.linkedin&title=Suzume,%20Polite%20Society,%20John%20Wick:%20Twelve%20of%20the%20best%20films%20of%202023%20so%20far"
50,delicate yet emotionally shattering coming-of-age drama,https://www.bbc.com/culture/article/20220527-close-an-exceptional-film-of-empathy-and-vision
51,"best mainstream, commercial film so far",https://www.bbc.com/culture/article/20230313-john-wick-chapter-4-soars-above-most-action-films
52,his picaresque adventures,https://www.bbc.com/culture/article/20230203-eo-cinemas-ultimate-scene-stealers
53,Triangle of Sadness,https://www.bbc.com/culture/article/20220523-triangle-of-sadness-review-a-gross-vomit-filled-satire
54,Glass Onion,https://www.bbc.com/culture/article/20220911-glass-onion-review-daniel-craig-shines-in-knives-out-sequel
55,"one of the freshest, most fun-to-watch of the year",https://www.bbc.com/culture/article/20230424-polite-society-review-action-comedy-get-out-the-matrix
56,BBC Culture Film and TV Club,https://www.facebook.com/groups/440074069852291/
57,Facebook,https://www.facebook.com/pages/BBC-Culture/237388053065908
58,Twitter,https://twitter.com/bbc_culture
59,sign up for the weekly bbc.com features newsletter,http://pages.emails.bbc.com/subscribe/
60,,"https://twitter.com/intent/tweet?text=Suzume,%20Polite%20Society,%20John%20Wick:%20Twelve%20of%20the%20best%20films%20of%202023%20so%20far&url=https%3A%2F%2Fwww.bbc.com%2Fculture%2Farticle%2F20230402-8-of-the-best-films-of-2023-so-far%3Focid%3Dww.social.link.twitter&via=BBC_Culture"
